HANZI	Starostin1989	Karlgren1954	Li1971	Pan2000	Wang1980	Zhengzhang2003	Baxter2014
墐	? / ?	æ / g'i ̯æn	ə / gjiən	ɯ / grɯn	e / geən	ɯ / grɯn	ə / [g] r ə[r] -s
增	ə / cǝ̄ŋ	ə / tsəŋ	ə / tsəŋ	ɯ / sɯɯŋ	ə / tsəŋ	ɯ / ʔsɯɯŋ	ə / s- tˤ  əŋ
墠	a / d(h)arʔ	a / ȡi ̯an	a / djanx	a / djanʔ	a / ʑian	a / djanʔ	a / [d]  anʔ
墳	ə / bhǝr	ə / b'i ̯wən	ə / bjən	ɯ / bɯn	ə / biən	ɯ / bɯn	? / ?
壎	? / ?	a / xi ̯wa ̆n	a / hjuan	o / qhon	a / xiuan	o / qhon	o / qʰ  o[n]
壑	? / ?	ɑ / xɑk	a / hak	a / qhaag	a / xak	a / qhaag	a / qʰˤ  ak
壞	u / grūjs	æ / g'wær	ə / gwrədh	u / gruuls	ə / ɣoəi	u / gruuls	u / N- [k]ˤ <r> uj -s
士	ə / ʒ́(h)rǝʔ	ə / dʐʻi ̯əg	ə / dzrjəgx	ɯ / srɯʔ	ə / dʒiə	ɯ / zrɯʔ	ə / [m-s-] r  əʔ
壺	? / ?	o / g'o	a / gag	a / gʷlaa	a / ɣa	a / ɢʷlaa	a / [g](ʷ)ˤ  a
壼	? / ?	ə / k'wən	ə / khwənx	u / khuunʔ	ə / khuən	u / khuunʔ	? / ?
壽	u / d(h)uʔ	ʊ / ȡi ̯ʊg	ə / djəgwx	u / djuʔ	u / ʑiu	u / djuʔ	u / [N-t]  uʔ -s
夏	a / g(h)rāʔs	ɔ / g'ɔ	a / gragx	a / graaʔ	a / ɣea	a / graaʔ	a / [g]ˤ r aʔ
夕	a / lhiak	a / dzi ̯ag	a / rjiak	a / sɢlag	a / zyak	a / ljaag	a / s- ɢ  Ak
外	o / ŋōts	ɑ / ŋwɑd	a / ŋuadh	o / ŋoods	a / ŋuat	a / ŋʷaads	a / [ŋ]ʷˤ  a[t] -s
夙	u / suk	ʊ / si ̯ʊk	ə / sjəkw	u / slug	u / siuk	u / sug	u / [s]  uk
多	a / tāj	ɑ / tɑ	a / tar	a / k-laal	a / tai	a / ʔl'aal	a / [t. l]ˤ  aj
夜	? / ?	a / di ̯ag	a / riagh	a / [g]lags	a / ʎyak	a / laags	a / [ɢ]  Ak -s
夢	ə / mhǝŋs	ə / mi ̯əŋ	ə / mjəŋ	ɯ / mɯŋ	ə / miəŋ	ɯ / mɯŋ	ə / C. m  əŋ -s
大	a / dhāts [thāts]	ɑ / d'ɑd	a / dadh	a / daads	a / dat	a / daads	a / lˤ  at -s
天	i / thīn	ə / t'iən	ə / thiən	ɯ / l̥ɯɯn	ə / thyən	i / qhl'iin	i / l̥ˤ  i[n]
夫	a / pa	o / pi ̯wo	a / pjag	a / pa	a / pia	a / pa	a / p (r) a
夭	a / ʔaw	o / ʔog	a / ʔagwx	o / qoowʔ	o / ô	o / qoowʔ	a / [ʔ] (r) aw
央	a / ʔaŋ	a / ʔi ̯aŋ	a / ʔjaŋ	a / qaŋ	a / iaŋ	a / qaŋ	a / ʔ  aŋ
夷	ə / lǝj	æ / di ̯ær	i / rid	i / [b]li	e / ʎiei	i / lil	ə / l  əj
奏	o / cōs	u / tsu	u / tsugh	o / soos	o / tso	o / ʔsoos	o / tsˤ  o(ʔ) -s
奔	ə / pǝ̄r	ə / pən	ə / pən	ɯ / pɯɯn	ə / pyən	ɯ / pɯɯn	u / pˤ  ur
奕	a / liak	a / di ̯ag	a / rak	a / lag	a / ʎyak	a / laag	a / [ɢ] (r) Ak
奠	? / ?	e / d'ien	i / dinh	i / diiŋs	e / dyen	i / diiŋs	e / N- tˤ  e[n] -s
奧	u / ʔuk	ʊ / ʔʊg	ə / ʔəgwh	u / quugs	u / uk	u / quugs	u / ʔ (r) uk
奭	? / ?	a / ɕi ̯ag	a / stjiak	a / qhljag	a / ɕyak	a / hjag	a / [qʰ] (r) Ak
女	a / nraʔ	o / ni ̯o	a / nrjagx	a / naʔ	a / nia	a / naʔ	a / n r aʔ -s
好	u / hūʔ	ʊ / xʊg	ə / həgwx	u / m̥huuʔ	u / xu	u / qhuuʔ	u / qʰˤ  uʔ -s
妣	i / pijʔ	æ / pi ̯ær	i / pjidx	i / piʔ	e / piei	i / piʔ	i / p  ijʔ -s
妯	u / ƛhu	ʊ / thi ̯ʊg	ə / thrjəgw	ɯ / rl̥ɯw	u / thiu	ɯ / lhɯw	? / ?
妹	ə / mhǝ̄ts	ə / məd	ə / mədh	ɯ / mɯɯds	ə / myət	ɯ / mɯɯds	ə / C. mˤ  ə[t] -s
妻	ə / shǝ̄j	ə / ts'iər	i / tshid	i / shiil	e / tshye	i / shiil	ə / [tsʰ]ˤ  əj -s
姊	ə / ćǝjʔ (~ -j)	æ / tsi ̯ær	i / tsjidx	i / skiʔ	e / tsiei	i / ʔsiʔ	i / [ts]  [i]jʔ
始	ə / ƛǝʔ	ə / ɕi ̯əg	ə / hrjəgx	ɯ / l̥ɯʔ	ə / ɕiə	ɯ / hljɯʔ	ə / l̥  əʔ
姑	a / kā	o / ko	a / kag	a / kaa	a / ka	a / kaa	a / kˤ  a
姓	e / seŋs	e / si ̯e ̆ŋ	i / sjiŋ	e / sqeŋs	e / sieŋ	e / sleŋs	e / s  eŋ -s
姜	a / klaŋ	a / ki ̯aŋ	a / kjaŋ	a / kaŋ	a / kiaŋ	a / kaŋ	a / C. q  aŋ
姝	o / tho	u / ȶʻi ̯u	u / thjug	o / thjo	o / tɕhio	o / thjo	? / ?
姨	ə / lǝj	æ / di ̯ær	i / rid	i / [b]li	e / ʎiei	i / lil	? / ?
姬	ə / klǝ	ə / ki ̯əg	ə / kjəg	ɯ / klɯ	ə / kiə	ɯ / klɯ	ə / [k] (r) ə
姻	i / ʔin	e / ʔi ̯e ̆n	i / ʔjin	i / qin	e / ien	i / qin	? / ?
威	u / ʔuj	ə / ʔi ̯wər	ə / ʔwjəd	u / qul	ə / iuəi	u / qul	u / ʔ  uj
娑	a / sāj	ɑ / sɑ	a / sar	a / slaal	a / sai	a / saal	a / [s]ˤ  a[j]
娛	a / ŋhua	o / ŋwo	a / ŋwagh	a / ŋʷaas	a / ŋua	a / ŋʷaas	a / ŋʷ (r) a
婁	o / ro	u / lu	u / lug	o / [g]roo	o / lo	o / g·roo	o / [r]  o
婆	? / ?	ɑ / b'ɑ	a / bar	a / baal	a / bai	a / baal	a / [b]ˤ  a[j]
婉	a / ʔʷarʔ	a / ʔi ̯wa ̆n	a / ʔjuanx	o / qonʔ	a / iuan	o / qonʔ	o / [ʔ]  o[n]ʔ
婦	ə / bǝʔ	ə / b'i ̯əg	ə / bjəgx	ɯ / bɯʔ	ə / biə	ɯ / bɯʔ	ə / mə. b  əʔ
媒	ə / mǝ̄	ə / məg	ə / məg	ɯ / mɯɯ	ə / mə	ɯ / mɯɯ	ə / C. mˤ  ə
媛	a / w(h)ans	a / gi ̯wa ̆n	a / gwjanh	a / ɢʷans	a / ɣiuan	a / ɢʷans	a / [ɢ]ʷ r a[n] -s
媾	o / kōs	u / ku	u / kugh	o / koos	o / ko	o / koos	o / kˤ (r) o -s
嫄	? / ?	a / ŋi ̯wa ̆n	a / ŋjuan	o / ŋgon	a / ŋiuan	a / ŋʷan	? / ?
孌	o / ronʔ	a / li ̯wan	a / ljuanx	o / [b]ronʔ	a / liuan	o / b·ronʔ	o / [r]  onʔ
子	ə / cǝʔ cǝʔs	ə / tsi ̯əg	ə / tsjəgx	ɯ / sɯʔ	ə / tsiə	ɯ / ʔslɯʔ	ə / ts  əʔ
字	ə / ʒǝʔs	ə / dz'i ̯əg	ə / dzjəgh	ɯ / zlɯ	ə / dziə	ɯ / zlɯ	ə / mə- dz  ə(ʔ) -s
存	ə / ʒ́hǝ̄n	ə / dz'ən	ə / dzən	ɯ / zɯɯn	ə / dzyən	u / zluun	ə / [dz]ˤ  ə[n]
孚	o / pho	ʊ / p'i ̯wʊg	ə / phjəgw	u / phu	u / phiu	u / phuw	? / ?
孝	a / hrāws	ʊ / xʊ̆g	ə / hrəgwh	u / qhruus	e / xeu	u / qhruus	u / qʰˤ <r> uʔ -s
季	i / kʷijs (~ -ts)	æ / ki ̯wæd	i / kwjidh	i / kʷids	e / kiuet	i / kʷids	i / kʷ  i[t] -s
孫	? / ?	ə / swən	ə / sən	u / sluun	ə / suən	u / suun	u / [s]ˤ  u[n]
孺	o / n(h)os	u / ȵi ̯u	u / njugh	o / njos	o / ȵio	o / njos	o / n  o -s
孼	? / ?	a / ŋi ̯at	a / ŋjiat	e / ŋed	a / ŋiat	e / ŋred	a / ŋ (r) at
孽	? / ?	a / ŋi ̯at	a / ŋjiat	e / ŋed	a / ŋiat	e / ŋred	? / ?
它	a / slāj	ɑ / t'ɑ	a / thar	a / l̥aal	a / thai	a / lhaal	a / l̥ˤ  aj
宅	a / dhrāk	a / d'a ̆k	a / drak	a / g-laag	a / deak	a / r'aag	a / m- tˤ <r> ak
宇	a / w(h)aʔ	o / gi ̯wo	a / gwjagx	a / ɢʷaʔ	a / ɣiua	a / ɢʷaʔ	a / [ɢ]ʷ (r) aʔ
安	a / ʔān	ɑ / ʔɑn	a / ʔan	a / qaan	a / an	a / qaan	a / [ʔ]ˤ  a[n]
宋	u / sūŋs	ʊ / sʊŋ	ə / səŋwh	u / sluuŋs	ə / suəm	u / sluuŋs	u / [s]ˤ  uŋ -s
完	a / ghʷān	ɑ / g'wɑn	a / guan	o / goon	a / ɣuan	o / ɦŋoon	o / [ɢ]ˤ  o[n]
宗	u / ćūŋ	ʊ / tsʊŋ	ə / tsəŋw	u / suuŋ	ə / tsuəm	u / ʔsuuŋ	u / [ts]ˤ  uŋ
定	e / dēŋs	e / tieŋ	i / tiŋh	e / teeŋs	e / tyeŋ	e / teeŋs	e / N- tˤ  eŋ -s
宜	a / ŋaj	a / ŋia	a / ŋjiar	a / ŋglal	a / ŋiai	a / ŋral	a / ŋ (r) aj
客	a / khrāk	a / k'a ̆k	a / khrak	a / khraag	a / kheak	a / khraag	a / kʰˤ r ak
宣	a / swhar	a / si ̯wan	a / skjuan	o / sqhon	a / siuan	o / sqhon	a / s- qʷ  ar
室	i / tit	e / ɕi ̯e ̆t	i / hrjit	i / l̥ig	e / ɕiet	i / hlig	i / s. t  i[t]
宮	u / kuŋ	ʊ / ki ̯ʊŋ	ə / kjəŋw	u / kuŋ	ə / kiuəm	u / kuŋ	u / k (r) uŋ
宰	ə / cǝ̄ʔ (~ ć-)	ə / tsəg	ə / tsəgx	ɯ / sɯɯʔ	ə / tsə	ɯ / ʔsɯɯʔ	ə / [ts]ˤ  əʔ
害	a / ghāts	ɑ / g'ɑd	a / gadh	a / gaads	a / ɣat	a / gaads	a / m- kˤ  at -s
宴	e / ʔēnʔ	a / ʔian	a / ʔianx	e / qeenʔ	a / yan	e / qeenʔ	e / ʔˤ  e[n] -s
家	a / krā	ɔ / kɔ	a / krag	a / kraa	a / kea	a / kraa	a / kˤ r a
容	o / loŋ	u / di ̯uŋ	u / grjuŋ	o / [g]loŋ	o / ʎioŋ	o / loŋ	o / [ɢ] (r) oŋ
宿	? / ?	ʊ / si ̯ʊg	ə / sjəgwh	u / slus	u / siu	u / sugs	u / [s]  uk
密	? / ?	e / mi ̯e ̆t	i / mjit	i / mbrig	e / met	i / mrig	i / m r i[t]
寇	? / ?	u / k'u	u / khugh	o / khoos	o / kho	o / khoos	o / [k]ʰˤ (r) o -s
富	u / puks	ə / pi ̯əg	ə / pjəgh	ɯ / pɯɡs	ə / piək	ɯ / pɯɡs	ə / p  ək -s
寐	i / m(h)ijs	e / mi ̯e ̆d	i / mjidh	i / mids	e / miet	i / mids	i / m  i[t] -s
寡	a / kʷrāʔ	ɔ / kwɔ	a / kwragx	a / kʷraaʔ	a / koa	a / kʷraaʔ	a / [C. k]ʷˤ r aʔ
寢	i / shimʔ	ə / ts'i ̯əm	ə / tshjəmx	i / skhimʔ	ə / tshiə	i / shimʔ	i / [tsʰ]  imʔ
實	i / lit	e / ȡʻi ̯e ̆t	i / djit	i / ɢljig	e / dʑiet	i / ɦlig	i / mə. l  i[t]
寧	e / nēŋ	e / nieŋ	i / niŋ	e / neeŋ	e / nyeŋ	e / neeŋ	e / nˤ  eŋ
寫	a / slhiaʔ	ɔ / si ̯ɔ	a / sjiagx	a / slaʔ	a / sya	a / sjaaʔ	a / s- qʰ  Aʔ
寬	a / khʷān	ɑ / k'wɑn	a / khuan	o / khoon	a / khuan	o / khoon	a / [k]ʷʰˤ  a[n]
寮	e / r(h)ēw	o / liog	a / liagw	e / [g]reew	o / lyô	e / reew	? / ?
寶	? / ?	ʊ / pʊg	ə / pəgwx	u / puuʔ	u / pu	u / puuʔ	u / pˤ  uʔ
寺	ə / lhǝs (~ -ks)	ə / dzi ̯əg	ə / rjəgh	ɯ / ljɯ	ə / ziə	ɯ / ljɯ	ə / s- [d]  əʔ -s
射	a / liaks	a / ȡʻi ̯ag	a / djiagh	a / ɢljags	a / dʑyak	a / ɢljaags	a / Cə. l  Ak
將	? / ?	a / tsi ̯aŋ	a / tsjaŋ	a / skaŋ	a / tsiaŋ	a / ʔsaŋ	a / [ts]  aŋ -s
對	u / tūts	ə / twəb	ə / t玝h	u / k-luubs	ə / təp	u / tuubs	u / [t]ˤ  [u]p -s
小	e / sewʔ	o / si ̯og	a / sjagwx	e / smewʔ	o / siô	e / smewʔ	e / [s]  ewʔ
少	e / tewʔ	o / ɕi ̯og	a / hrjagwx	e / m̥hjewʔ	o / ɕiô	e / hmjewʔ	e / [s. t]  ewʔ
尚	? / ?	a / ȡi ̯aŋ	a / djaŋ	a / gljaŋ	a / ʑiaŋ	a / djaŋ	a / [d]  aŋ -s
尤	ə / wǝ	u / gi ̯ug	ə / gwjəg	ɯ / ɢʷɯ	u / ɣiu	ɯ / ɢʷɯ	ə / [ɢ]ʷ  ə
尰	? / ?	u / ȡi ̯uŋ	u / djuŋx	o / djoŋʔ	o / ʑioŋ	o / djoŋʔ	? / ?
就	u / ʒ(h)uks	ʊ / dz'i ̯ʊg	ə / dzjəgwh	u / zugs	u / dziuk	u / zugs	u / [dz]  u[k] -s
尸	i / ƛij	æ / ɕi ̯ær	i / hrjid	i / ph-lji	e / ɕiei	i / hli	ə / l̥  ̥[ə]j
尹	i / winʔ	e / di ̯we ̆n	i / rwjinx	i / ɢʷinʔ	e / ʎiuen	i / ɢʷlinʔ	u / m- q  urʔ
尺	a / thiak	a / ȶʻi ̯ag	a / thjiak	a / thjag	a / tɕhya	a / thjag	a / tʰ  Ak
尾	ə / mǝjʔ	ə / mi ̯wər	ə / mjədx	ɯ / mɯlʔ	ə / miəi	ɯ / mɯlʔ	ə / [m]  əjʔ
局	o / gok	u / g'i ̯uk	u / gjuk	o / gog	o / giok	o / gog	o / N- kʰ (r) ok
居	a / ka	ə / ki ̯əg	ə / kjəg	ɯ / kɯ	ə / kiə	ɯ / kɯ	a / k (r) a -s
屆	ə / krǝ̄ts	æ / kæd	ə / krədh	ɯ / krɯɯds	e / keət	ɯ / krɯɯds	i / kˤ r [i][t] -s
屋	o / ʔōk	u / ʔuk	u / ʔuk	o / qoog	o / ok	o / qoog	o / qˤ  ok
屎	i / ƛijʔ	æ / ɕi ̯ær	i / hrjidx	i / qhliʔ	e / ɕiei	i / hliʔ	i / [qʰ]  ij
屏	e / bhēŋ	e / pi ̯e ̆ŋ	i / pjiŋ	e / peŋ	e / pieŋ	e / peŋ	e / [b]ˤ  eŋ
展	a / tranʔ	a / ti ̯an	a / trjanx	e / tenʔ	a / tian	e / tenʔ	e / t r enʔ
屠	? / ?	o / d'o	a / dag	a / g-laa	a / da	a / daa	a / [d]ˤ  a
履	i / r(h)ijʔ	æ / li ̯ær	i / ljidx	i / riʔ	e / liei	i / riʔ	i / [r]  ijʔ
屨	o / kros	u / ki ̯u	u / kjugh	o / klos	o / kio	o / klos	o / k- r  o -s
屬	? / ?	u / ȶi ̯uk	u / tjuk	o / tjog	o / tɕiok	o / tjog	o / N- t  ok
山	a / srān	a / ʂa ̆n	a / srian	e / sreen	a / ʃean	e / sreen	a / s- ŋ r ar
屺	? / ?	ə / k'i ̯əg	ə / khjəgx	ɯ / khɯʔ	ə / khiə	ɯ / khɯʔ	? / ?
岐	e / g(h)e	e / g'i ̯e ̆g	i / gjig	e / ge	e / gie	e / ge	? / ?
岡	a / kāŋ	ɑ / kɑŋ	a / kaŋ	a / kaaŋ	a / kaŋ	a / klaaŋ	? / ?
岵	a / g(h)āʔ	o / g'o	a / gagx	a / gaaʔ	a / ɣa	a / gaaʔ	? / ?
岸	a / ŋhāns	ɑ / ŋɑn	a / ŋanh	a / ŋgaans	a / ŋan	a / ŋgaans	a / [ŋ]ˤ  a[r] -s
峨	a / ŋāj	ɑ / ŋɑ	a / ŋar	a / ŋaal	a / ŋai	a / ŋaal	? / ?
崇	? / ?	ʊ / dʐʻi ̯ʊŋ	ə / dzrjəŋw	u / zruŋ	u / dʒiu	u / zruŋ	u / [dz] <r> uŋ
崔	? / ?	ə / dz'wər	ə / sdəd	u / zuul	ə / dzuəi	u / zluul	u / [dz]ˤ  uj
崩	? / ?	ə / pəŋ	ə / pəŋ	ɯ / pɯɯŋ	ə / pəŋ	ɯ / pɯɯŋ	ə / Cə. pˤ  əŋ
嵬	u / ŋūj	ə / ŋwər	ə / ŋwəd	u / ŋguul	ə / ŋuəi	u / ŋguul	u / N- qʰˤ  ujʔ
嶷	? / ?	ə / ŋi ̯əg	ə / ŋjəg	ɯ / ŋgɯ	ə / ŋiə	ɯ / ŋɯ	? / ?
嶽	o / ŋrōk	u / ŋu ̆k	u / ŋruk	o / ŋroog	e / ŋeok	o / ŋroog	o / [ŋ]ˤ r ok
巔	i / tīn	e / tien	i / tin	i / k-liin	e / tyen	i / tiin	? / ?
巖	a / ŋrām	a / ŋam	a / ŋram	a / ŋgraam	a / ŋeam	a / ŋraam	a / [ŋ]ˤ r [a]m
巘	a / ŋ(h)arʔ	a / ŋi ̯an	a / ŋjianx	a / ŋanʔ	a / ŋian	a / ŋranʔ	a / ŋ (r) ar(ʔ)
川	u / slun	a / ȶʻi ̯wan	ə / thjən	o / khjon	a / tɕhiuan	o / khjon	u / t. l̥  u[n]
巢	? / ?	o / dz'o ̆g	a / dzragw	a / zraaw	o / dʒeô	a / zraaw	a / [dz]ˤ r aw
工	o / kōŋ	u / kuŋ	u / kuŋ	o / kooŋ	o / koŋ	o / kooŋ	o / kˤ  oŋ
左	a / cājʔ	ɑ / tsɑ	a / tsarx	a / saalʔ	a / tsai	a / ʔsaalʔ	a / tsˤ  arʔ -s
差	a / shrāj	a / ts'a	a / tshrar	a / skhraal	a / tʃhea	a / shraal	a / [tsʰ](ˤ) r aj
已	ə / lǝʔ	ə / di ̯əg	ə / rəgx	ɯ / lɯʔ	ə / ʎiə	ɯ / lɯʔ	ə / ɢ (r) əʔ
巷	o / g(h)rōŋs	u / g'u ̆ŋ	u / gruŋh	o / grooŋs	e / ɣeoŋ	o / grooŋs	o / C. [g]ˤ r oŋ -s
巾	ə / krǝn	æ / ki ̯æn	ə / kjiən	ɯ / krɯn	e / keən	ɯ / krɯn	ə / k r ən
帑	? / ?	ɑ / t'ɑŋ	a / hnaŋx	a / n̥aaŋʔ	a / thaŋ	a / nhaaŋʔ	? / ?
帝	e / tēks	e / tieg	i / tigh	e / teegs	e / tyek	e / teegs	e / tˤ  ek -s
帨	o / ƛots	a / ts'i ̯wad	a / sthjuadh	o / sl̥ds	u / tshiu	o / sthods	o / s. l̥  ot -s
師	i / srij	æ / ʂi ̯ær	i / srjid	i / sri	e / ʃiei	i / sri	i / s r ij
席	a / lhiak	a / dzi ̯ag	a / rjiak	a / sɢlag	a / zyak	a / ljaag	a / s-m- t  Ak
帶	? / ?	ɑ / tɑd	a / tadh	a / taads	a / tat	a / taads	a / C. tˤ  a[t] -s
常	? / ?	a / ȡi ̯aŋ	a / djaŋ	a / gljaŋ	a / ʑiaŋ	a / djaŋ	a / [d]  aŋ
幝	a / tharʔ	a / ȶʻi ̯an	a / thjanx	a / thjanʔ	a / tɕhian	a / thjanʔ	? / ?
幠	a / smā	o / xo	a / hnag	a / m̥haa	a / xa	a / hmaa	a / m̥ˤ  a
幡	a / phar	a / p'i ̯wa ̆n	a / phjan	a / phan	a / phian	a / phan	? / ?
幪	? / ?	u / muŋ	u / muŋ	o / mooŋ	o / moŋ	o / mooŋ	? / ?
幭	e / m(h)ēt	a / miat	a / miat	e / meed	a / myat	e / meed	e / mˤ  [e]k
干	a / kān	ɑ / kɑn	a / kan	a / kaan	a / kan	a / kaan	a / kˤ  ar
平	e / bhreŋ	a / b'i ̯an	a / bjian	e / ben	a / bian	e / ben	e / m- b r eŋ
年	i / nhīn	e / nien	i / nin	i / niiŋ	e / nyen	i / niiŋ	i / C. nˤ  i[ŋ]
幽	i / ʔiw	o / ʔi ̯o ̆g	ə / ʔjiəgw	ɯ / qrɯw	u / yu	ɯ / qɯw	i / [ʔ] (r) iw
幾	ə / kǝj	æ / ki ̯ær	i / kjidx	i / krilʔ	e / kiei	i / krilʔ	ə / k  əj
床	a / ʒ́(h)raŋ	a / dʐʻi ̯aŋ	a / dzrjaŋ	a / sgraŋ	a / dʒiaŋ	a / zraŋ	? / ?
庚	a / krāŋ	a / ka ̆ŋ	a / kraŋ	a / kraaŋ	a / keaŋ	a / kraaŋ	a / kˤ r aŋ
度	a / dāk	ɑ / d'ɑg	a / dagh	a / g-laags	a / dak	a / daags	a / [d]ˤ  ak -s
庭	e / Łhēŋ	e / d'ieŋ	i / diŋ	e / leeŋ	e / dyeŋ	e / l'eeŋ	? / ?
庶	? / ?	a / ɕi ̯wag	a / hrjagh	a / qhljags	a / ɕiak	a / hljags	a / s- t  ak -s
康	? / ?	ɑ / k'ɑŋ	a / khaŋ	a / khlaaŋ	a / khaŋ	a / khlaaŋ	a / r̥ˤ  aŋ
庸	? / ?	u / di ̯uŋ	u / ruŋ	o / loŋ	o / ʎioŋ	o / loŋ	o / l  oŋ
庾	? / ?	u / di ̯u	u / rugx	o / loʔ	o / ʎio	o / loʔ	o / [ɢ] (r) oʔ
廄	? / ?	ʊ / ki ̯ʊg	ə / kjəgwh	ɯ / kɯws	u / kiu	ɯ / kɯws	u / [k]ʷ  u(ʔ) -s
廓	a / khʷāk	ɑ / k'wɑk	a / khwak	a / khʷaag	a / khuak	a / khʷaag	a / kʷʰˤ  ak
廛	a / d(h)ran	a / d'i ̯an	a / drjan	a / dan	a / dian	a / dan	a / [d] r a[n]
廟	a / mraw(ʔ)s	o / mi ̯og	a / mjagwh	e / mbrews	o / miô	e / mrews	a / [m] r aw -s
廣	a / kʷāŋʔ	ɑ / kwɑŋ	a / kwaŋx	a / kʷaaŋʔ	a / kuaŋ	a / kʷaaŋʔ	a / kʷˤ  aŋʔ
廩	ə / r(h)ǝmʔ	ə / li ̯əm	ə / ljəmx	ɯ / b-rɯmʔ	ə / liəm	ɯ / b·rɯmʔ	i / p. r  imʔ
廬	a / r(h)a	o / li ̯o	a / ljag	a / [g]ra	a / lia	a / ra	a / [r]  a
廱	? / ?	u / ʔi ̯uŋ	u / ʔjuŋ	o / qoŋ	o / ioŋ	o / qoŋ	? / ?
弁	e / b(h)rens	a / b'i ̯wan	a / bjianh	o / brons	a / biuan	o / brons	o / C. [b] r o[n] -s
弈	a / liak	a / di ̯ag	a / rak	a / lag	a / ʎyak	a / laag	a / [ɢ] (r) Ak
弋	? / ?	ə / di ̯ək	ə / rək	ɯ / lɯɡ	ə / ʎiək	ɯ / lɯɡ	ə / l  ək
式	ə / ƛǝk	ə / ɕi ̯ək	ə / hrjək	ɯ / l̥ɯg	ə / ɕiək	ɯ / hljɯɡ	ə / l̥  ək
弓	? / ?	u / ki ̯uŋ	ə / kwjəŋ	ɯ / kʷɯŋ	ə / kiuəŋ	ɯ / kʷɯŋ	ə / kʷ  əŋ
弔	e / tēkʷs	ʊ / tiʊk	ə / tiəgwh	i / tiiwgs	u / tyuk	i / tiiwɢs	e / tˤ  [e]wk -s
引	i / Łinʔ	e / di ̯e ̆n	i / rinx	i / linʔ	e / ʎien	i / linʔ	i / l  i[n]ʔ -s
弗	ə / pǝt	ə / pi ̯wət	ə / pjət	ɯ / pɯd	ə / piət	ɯ / pɯd	u / p  ut
弘	ə / g(h)ʷǝ̄ŋ	ə / g'wəŋ	ə / gwəŋ	ɯ / gʷɯɯŋ	ə / ɣuəŋ	ɯ / gʷɯɯŋ	ə / [ɢ]ʷˤ  əŋ
弟	ə / Ł(h)ǝ̄jʔ	ə / d'iər	i / didx	i / liilʔ	e / dyei	i / diilʔ	ə / lˤ  əjʔ
弨	a / thaw (~ -ew)	o / ȶʻi ̯og	a / thjagw	e / khljew	o / tɕhiô	e / thjew	? / ?
張	? / ?	a / ti ̯aŋ	a / trjaŋ	a / k-laŋ	a / tiaŋ	a / taŋ	a / C. t r aŋ
彊	a / ghaŋ	a / ki ̯aŋ	a / kjaŋh	a / kaŋs	a / kiaŋ	a / kaŋs	a / N- k  aŋ
彝	ə / lǝj	æ / di ̯ær	i / rid	i / li	e / ʎiei	i / li	ə / [l]  [ə]j
彥	a / ŋ(h)rans	a / ŋi ̯an	a / ŋjianh	a / ŋans	a / ŋian	a / ŋrans	a / ŋ r ar -s
彧	? / ?	ə / ʔi ̯wək	ə / ʔwjiək	ɯ / qʷrɯɡ	ə / iuə̆k	ɯ / qʷrɯɡ	ə / qʷ  ək
彭	a / b(h)āŋ	a / b'a ̆ŋ	a / braŋ	a / braaŋ	a / beaŋ	a / braaŋ	a / C.[b]ˤ r aŋ
役	e / wek	e / di ̯e ̆k	i / gwrjik	e / ɢʷeg	e / ʎiuek	e / ɢʷeg	e / ɢʷ  ek
往	a / waŋʔ	a / gi ̯waŋ	a / gwjaŋx	a / ɢʷaŋʔ	a / ɣiuaŋ	a / ɢʷaŋ	a / ɢʷ  aŋʔ
征	e / teŋ	ə / ti ̯əg	ə / trjəgx	ɯ / tɯʔ	ə / tiə	ɯ / tɯʔ	e / t  eŋ
徂	a / ʒ́(h)ā	o / dz'o	a / dzag	a / sgaa	a / dza	a / zaa	a / [dz]ˤ  a
律	u / rut	ə / li ̯wət	ə / ljət	u / [b]rud	ə / liuət	u / rud	u / [r]  ut
後	o / ghōʔ	u / g'u	u / gugx	o / gooʔ	o / ɣo	o / gooʔ	o / [ɢ]ˤ (r) oʔ -s
徒	? / ?	o / d'o	a / dag	a / laa	a / da	a / l'aa	a / [d]ˤ  a
得	? / ?	ə / tək	ə / tək	ɯ / tɯɯg	ə / tək	ɯ / tɯɯg	ə / tˤ  ək
從	? / ?	u / ts'i ̯uŋ	u / tshjuŋ	o / shoŋ	o / tshio	o / zloŋ	o / [dz]  oŋ
御	? / ?	o / ŋi ̯o	a / ŋjagx	a / ŋaʔ	a / ŋia	a / ŋaʔ	a / m- [qʰ] (r) aʔ
復	u / b(h)uk	ʊ / b'i ̯ʊg	ə / bjəgwh	u / bugs	u / biuk	u / bugs	u / m- p (r) uk
微	ə / mǝj	ə / mi ̯wər	ə / mjəd	ɯ / mɯl	ə / miəi	ɯ / mɯl	ə / m  əj
德	ə / tǝ̄k	ə / tək	ə / tək	ɯ / tɯɯg	ə / tək	ɯ / tɯɯg	ə / tˤ  ək
徹	e / thret	a / thi ̯at	a / thrjat	e / thed	a / thiat	e / thed	e / m- [tʰ] r et
心	ə / sǝm	ə / si ̯əm	ə / sjəm	ɯ / slɯm	ə / siəm	ɯ / slɯm	ə / s  əm
忉	? / ?	o / tog	a / tagw	a / k-laaw	o / tô	a / taaw	? / ?
