HANZI	Starostin1989	Karlgren1954	Li1971	Pan2000	Wang1980	Zhengzhang2003	Baxter2014
加	? / ?	a / ka	a / krar	a / kraal	a / keai	a / kraal	a / kˤ r aj
助	a / ʒ́(h)ras	o / dʐʻi ̯o	a / dzrjagh	a / sgras	a / dʒia	a / zras	a / [dz] r a -s
勇	o / loŋʔ	u / di ̯uŋ	u / ruŋx	o / loŋʔ	o / ʎioŋ	o / loŋʔ	o / l  oŋʔ
動	o / d(h)ōŋʔ	u / d'uŋ	u / duŋx	o / dooŋʔ	o / doŋ	o / dooŋʔ	o / [Cə-m-] tˤ  oŋʔ
務	o / mhoʔs	u / mi ̯ug	u / mjugh	o / mogs	o / miok	o / mogs	o / m (r) o -s
勝	? / ?	e / sieŋ	i / siŋ	e / sqeeŋ	e / syeŋ	e / sleeŋ	ə / l̥  əŋ
勞	? / ?	o / log	a / lagw	a / raaw	o / lô	a / raaw	a / [r]ˤ  aw
勤	ə / ghǝn	ə / g'i ̯ən	ə / gjən	ɯ / gɯn	ə / giən	ɯ / gɯn	ə / [g]  ər
勩	a / lats	a / di ̯ad	a / rabh	e / [g]lebs	a / ʎiap	e / lebs	a / l  [a][p] -s
包	? / ?	ʊ / pʊ̆g	ə / prəgw	u / pruu	e / peu	u / pruu	u / pˤ <r> u
匊	? / ?	ʊ / ki ̯ʊk	ə / kjəkw	u / kug	u / kiuk	u / klug	? / ?
匏	u / brū	ʊ / b'ʊ̆g	ə / brəgw	u / bruu	e / beu	u / bruu	u / [b]ˤ r u
匐	ə / b(h)ǝk	ə / b'ək	ə / bək	ɯ / bɯɯg	ə / bək	ɯ / bɯɯg	ə / [b]ˤ  ək
匕	i / pijʔ	æ / pi̯ær	i / pjidx	i / pilʔ	e / piei	i / pilʔ	i / p  ijʔ
北	ə / pǝ̄k	ə / pək	ə / pək	ɯ / pɯɯg	ə / pək	ɯ / pɯɯg	ə / pˤ  ək
匱	u / gruts	æ / g'i ̯wæd	ə / gwjiədh	u / gruds	ə / giuət	u / gruds	u / [g] r uj -s
匹	i / phit	e / p'i ̯e ̆t	i / phjit	i / phid	e / phiet	i / phid	i / pʰ  i[t]
千	i / shīn	a / ts'i ̯an	a / tshjan	e / shen	a / tshia	e / shen	i / s. n̥ˤ  i[ŋ]
升	ə / tǝŋ	ə / ɕi ̯əŋ	ə / hrjəŋ	ɯ / qhljɯŋ	ə / ɕiəŋ	ɯ / hljɯŋ	ə / s- t  əŋ
午	a / ŋ(h)āʔ	o / ŋo	a / ŋagx	a / ŋaaʔ	a / ŋa	a / ŋaaʔ	a / m- qʰˤ  aʔ
卉	? / ?	ə / xi ̯ər	ə / hjədx	ɯ / m̥hɯlʔ	ə / xiəi	ɯ / hmɯlʔ	? / ?
卑	e / pe	e / pi ̯e ̆g	i / pjig	e / pe	e / pie	e / pe	e / p  e
卒	u / cut	ə / tswət	ə / tsət	u / suud	ə / tsuət	u / ʔsuud	u / [ts]  ut
南	ə / nǝ̄m	u / nu ̆m	ə / nəm	o / noom	ə / niuəm	u / nuum	ə / nˤ  [ə]m
博	? / ?	ɑ / pɑk	a / pak	a / paag	a / pak	a / paag	a / pˤ  ak
卜	o / pōk	u / puk	u / puk	o / poog	o / pok	o / poog	o / pˤ  ok
占	e / tem tems	a / ȶi ̯am	a / tjam	e / kljem	a / tɕiam	e / ʔljem	e / t  em
卣	u / lu	ʊ / di ̯ʊg	ə / rəgw	u / lu	u / ʎiu	u / lu	? / ?
卬	a / ŋāŋ	ɑ / ŋɑŋ	a / ŋaŋ	a / ŋaaŋ	a / ŋaŋ	a / ŋaaŋ	a / ŋˤ  aŋ
卯	u / mhrūʔ	ʊ / mʊ̆g	ə / mrəgwx	u / mruuʔ	e / meu	u / mruuʔ	u / mˤ r uʔ
即	i / ćit	ə / tsi ̯ək	ə / tsjək	ɯ / sɯɡ	ə / tsiək	ɯ / ʔsɯɡ	i / [ts]  ik
卷	e / kʷrenʔ	a / g'i ̯wan	a / gwjan	o / gron	a / giuan	o / gron	o / [k] (r) o[n]ʔ
卿	a / khraŋ	a / k'i ̯a ̆ŋ	a / khjiaŋ	a / khraŋ	a / khyaŋ	a / khraŋ	a / C. qʰ r aŋ
厄	e / ʔrēk	e / ʔe ̆k	i / ʔrik	e / qreeg	e / ek	e / qreeg	i / qˤ <r> [i]k
厎	? / ?	æ / ȶi ̯ær	i / tjidx	i / tjilʔ	e / tɕiei	i / tjilʔ	? / ?
厖	? / ?	u / mu ̆ŋ	u / mruŋ	o / mrooŋ	e / meoŋ	o / mrooŋ	o / mˤ r oŋ
厚	o / gōʔ	u / g'u	u / gugx	o / gooʔ	o / ɣo	o / gooʔ	o / Cə. [g]ˤ (r) oʔ
原	o / ŋor	a / ŋi ̯wa ̆n	a / ŋjuan	o / ŋgon	a / ŋiuan	a / ŋʷan	a / N- ɢʷ  ar
厭	e / ʔem	a / ʔi ̯am	a / ʔjiamx	e / qemʔ	a / iam	e / qemʔ	e / ʔ  em
厲	a / rats	a / li ̯ad	a / ljadh	a / [m]rads	a / liat	a / m·rads	a / [r]  at -s
去	a / khaʔ	o / k'i ̯o	a / khjagx	a / khaʔ	a / khia	a / khaʔ	a / [kʰ] (r) aʔ
又	ə / wǝʔs	u / gi ̯ug	ə / gwjəgh	ɯ / ɢʷɯ	u / ɣiu	ɯ / ɢʷɯ	ə / [ɢ]ʷ  əʔ -s
及	ə / gǝp	ə / g'i ̯əp	ə / gjəp	ɯ / grɯb	ə / giəp	ɯ / grɯb	ə / [m-k-] r  əp
友	ə / wǝʔ	u / gi ̯ug	ə / gwjəgx	ɯ / ɢʷɯʔ	u / ɣiu	ɯ / ɢʷɯʔ	ə / [ɢ]ʷ  əʔ
反	a / p(l)anʔ	a / pi ̯wa ̆n	a / pjanx	a / panʔ	a / pian	a / panʔ	a / [b]ˤ r anʔ
叔	i / tikʷ (~ -uk)	ʊ / ɕi ̯ʊk	ə / hrjəkw	i / qhljiwg	u / ɕiuk	ɯ / hljɯwɢ	i / s- t  iwk
取	o / ćhoʔ	u / ts'u	u / tshugx	o / skooʔ	o / tsho	o / shlooʔ	o / [ts]ʰ  oʔ -s
受	u / d(h)uʔ	ʊ / tʊg	ə / təgwh	u / tuus	u / tu	u / tuus	u / [d]  uʔ
叟	o / s(r)ōʔ	ʊ / sʊg	ə / səgwx	u / sluuʔ	u / su	u / suuʔ	u / s- r  uʔ
口	o / khōʔ	u / k'u	u / khugx	o / khooʔ	o / kho	o / khooʔ	o / kʰˤ (r) oʔ
句	o / kos	u / ku	u / kug	o / koo	o / ko	o / koo	o / [k]ˤ (r) ok -s
只	e / keʔ	æ / ȶi ̯ær	i / tjid	i / tjil	e / tɕiei	i / tjil	? / ?
召	a / d(h)rawʔs	o / d'i ̯og	a / drjagwh	e / g-lews	o / diô	e / dews	a / [d]  awʔ
可	a / khājʔ	ɑ / k'ɑ	a / kharx	a / khaalʔ	a / khai	a / khaalʔ	a / [k]ʰˤ  a[j]ʔ
史	ə / srǝʔ	ə / ʂi ̯əg	ə / srjəgx	ɯ / srɯʔ	ə / ʃiə	ɯ / srɯʔ	ə / s- r  əʔ
右	ə / wǝʔ	u / gi ̯ug	ə / gwjəgx	ɯ / ɢʷɯʔ	u / ɣiu	ɯ / ɢʷɯʔ	ə / [ɢ]ʷ  əʔ -s
吁	a / swa	o / xi ̯wo	a / hwjag	a / qhʷa	a / xiua	a / qhʷa	a / qʷʰ (r) a
合	ə / gǝ̄p	ə / kəp	ə / kəp	u / kuub	ə / kəp	u / kuub	o / kˤ  op
吉	i / kit	e / ki ̯e ̆t	i / kjit	i / kid	e / kiet	i / klid	i / C. q  i[t]
同	o / Łōŋ	u / d'uŋ	u / duŋ	o / g-looŋ	o / doŋ	o / dooŋ	o / lˤ  oŋ
